chests: .word 32, 16
.byte 4,4,0,255,255,255,255,255,255,255,255,255,255,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
4,0,255,0,0,3,255,0,0,255,3,0,0,255,0,4,4,0,246,69,69,69,69,69,69,69,69,69,69,246,0,4,
0,255,255,70,71,71,255,70,71,255,70,71,71,255,255,0,0,246,69,71,71,71,71,71,71,71,71,71,71,69,246,0,
0,255,255,159,255,71,255,159,255,255,159,255,71,255,255,0,0,246,69,0,0,0,0,0,0,0,0,0,0,77,246,0,
0,255,255,159,255,71,255,159,255,255,159,255,71,255,255,0,0,246,69,0,0,0,0,0,0,0,0,0,0,69,246,0,
0,255,255,70,71,255,255,70,71,255,70,71,255,255,255,0,0,246,69,69,69,69,69,69,69,69,69,69,69,69,246,0,
0,255,255,70,71,71,255,70,71,255,70,71,71,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,255,255,0,0,0,255,0,0,255,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,246,164,0,0,0,0,0,0,0,0,0,0,164,246,0,
0,255,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,246,4,0,0,0,78,167,167,78,0,0,0,4,246,0,
0,255,255,255,255,255,246,0,0,246,246,246,246,246,246,0,0,246,4,2,2,78,167,255,255,167,78,2,2,4,246,0,
0,255,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,246,4,4,4,78,167,255,255,167,78,4,4,4,246,0,
0,255,0,71,71,159,247,255,255,246,70,70,71,71,246,0,0,246,246,246,246,246,246,246,246,246,246,246,246,246,246,0,
0,255,0,71,71,71,159,0,0,69,69,71,71,71,246,0,0,246,82,82,82,82,82,82,82,82,82,82,82,82,246,0,
4,0,246,246,246,246,246,246,246,246,246,246,246,246,0,0,4,0,246,246,246,246,246,246,246,246,246,246,246,246,0,0,
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


